identifier,split
13f3691074fb1,val
010ac2b27317e,val
0b28154eb09a5,train
234a7ba040336,train
219b3db3a50e5,train
164a3040c6529,test
314a746a9e266,val
1db69e22d095e,val
36a15eeddce83,val
1685c5bc56af7,val
17ac271bafae5,train
317b721e4811e,train
19e886ddf3491,train
1a194a1510938,train
17d68c408a6bb,train
02eb51837b5c9,train
3509be318e39a,train
2e5c5c87c361d,train
2f0cd1a7ecfce,train
2d7e92172c83f,train
0609d0a011be6,test
38d4ffa390678,test
0d24f83314b65,test
2c16fd4778ac7,val
0633262ba9742,val
15fcd11bab9d3,val
12001b9caa490,val
32ba663895848,train
0ae7981f8b467,train
008cfc113b044,train
2ed61628c52c9,train
01c622889e82f,train
2bedcc62a4034,train
2beadc0a5cc05,train
1bd3ef2251bec,train
2138dacae6717,train
2dfb410f6ce94,val
2d5c0e77493ef,train
38d70aaed0119,train
2147d8fd745df,train
307b225fe1f8f,train
266259c8b0676,train
18ca25b7be817,train
20692b887d75f,train
25786fb4c5a38,train
3380f49f9a54f,train
10d126f23700b,train
0a4b3f3c36bf0,test
128e9070a92c5,test
169623f1d026b,test
01677a8c49e23,val
2573d499f94ca,val
36a7ce354dcd1,val
368b2f7c5171d,val
0cc8512208a61,train
125872779946b,train
38bdff1e444b7,train
083fc13cb73df,train
03f906a4d061c,train
134d2ecc9e18a,train
1ae8077f7e95c,train
251ede3d51408,train
2961de7fa7665,train
2261d780ade21,train
04181a4e48c76,train
142054ce792a3,test
17f05521d4280,val
2bd2c386037fd,val
18ce8b922d088,train
13500e5d8f54d,train
21d03a0719cd7,train
0ce34e5cb1fc6,train
0bc9fe2b8d309,train
1fb7b306c115f,train
17301bdfc077a,train
05e923bd0bcea,train
1aec76e7024c7,train
1d1d2b0cf5585,train
375bec575b28c,train
010235c0f2854,train
1176421789a1c,test
0936e2c34baf7,test
04aa6b93318df,test
1b40ebb483a8c,test
278717fd7ffbd,val
356a3d32f6f79,val
2986f3de5b718,val
173a096038623,train
02f28b008f365,train
26238d2c66bd5,train
1f7989898ad53,train
02de62696377d,train
0e71bfa1c5093,train
37761ca7cdc9d,train
0c899af6bcedd,train
1c532173beb17,train
2bd16df494d6c,train
192d226d2a4b4,train
31f852ec82487,test
212b81f739b91,test
29505bf490243,test
275e8c0321324,test
159c255ecff95,val
35d158949d564,val
1412e4a92b427,train
0e787392340e7,train
194b224040af3,train
14748485328bb,train
35012338185b7,train
2d8060efe2ca8,train
1e0a33f8bc8ba,train
00c6d17cf3e64,train
0971be7ae18b8,train
0142d9a9eaf0e,train
085bb78becd25,train
046b2165741e6,train
22ad647733c96,test
227cf99439fff,test
24ce267deea50,test
06a700208a500,test
24b8e7800479e,val
0599c9c6d4791,val
0fc701401b5e2,val
