day,time,centre,distance_to_oxford,filename,path,nan_fraction,date
1,10:35:00,"(53.589492500000006, 9.2763845)",10.69314336108408,MOD021KM.A2021001.1035.061.2021001190003.hdf,2021/01/01/MOD021KM.A2021001.1035.061.2021001190003.hdf,2.0,2021-01-01
2,11:20:00,"(47.727060249999994, -4.0642095)",4.906794836216446,MOD021KM.A2021002.1120.061.2021002190459.hdf,2021/01/02/MOD021KM.A2021002.1120.061.2021002190459.hdf,0.0,2021-01-02
3,10:25:00,"(45.611504249999996, 9.039867)",11.989394237210533,MOD021KM.A2021003.1025.061.2021004151042.hdf,2021/01/03/MOD021KM.A2021003.1025.061.2021004151042.hdf,1.0,2021-01-03
4,11:05:00,"(56.557665, 3.0430839999999995)",6.449120801076762,MOD021KM.A2021004.1105.061.2021004190923.hdf,2021/01/04/MOD021KM.A2021004.1105.061.2021004190923.hdf,0.0,2021-01-04
5,10:10:00,"(54.43256325, 15.86346675)",17.32973658826227,MOD021KM.A2021005.1010.061.2021008160834.hdf,2021/01/05/MOD021KM.A2021005.1010.061.2021008160834.hdf,0.26278,2021-01-05
6,10:55:00,"(48.589738499999996, 2.4555124999999998)",4.877278428031205,MOD021KM.A2021006.1055.061.2021006191344.hdf,2021/01/06/MOD021KM.A2021006.1055.061.2021006191344.hdf,1.0,2021-01-06
7,10:00:00,"(46.474008999999995, 15.546280250000002)",17.61337393114877,MOD021KM.A2021007.1000.061.2021007191343.hdf,2021/01/07/MOD021KM.A2021007.1000.061.2021007191343.hdf,0.875952,2021-01-07
8,10:40:00,"(57.3815065, 9.6649615)",12.288037991360724,MOD021KM.A2021008.1040.061.2021008194750.hdf,2021/01/08/MOD021KM.A2021008.1040.061.2021008194750.hdf,0.235972,2021-01-08
9,11:25:00,"(51.613698500000005, -3.9906647499999996)",2.7364618816356296,MOD021KM.A2021009.1125.061.2021009191349.hdf,2021/01/09/MOD021KM.A2021009.1125.061.2021009191349.hdf,1.0,2021-01-09
10,10:30:00,"(49.43813075, 8.9885775)",10.504294051153645,MOD021KM.A2021010.1030.061.2021010190550.hdf,2021/01/10/MOD021KM.A2021010.1030.061.2021010190550.hdf,0.0,2021-01-10
